"Povprečni pridelek (t/ha) pomembnejših kmetijskih kultur po: KMETIJSKE KULTURE, LETO ,  STATISTIČNA REGIJA";"Proizvodno leto";"Kolicina"
"Travno deteljne mešanice (1 do 5 let)";"Pomurska";8
"Travno deteljne mešanice (1 do 5 let)";"Podravska";8,1
"Travno deteljne mešanice (1 do 5 let)";"Koroška";7,9
"Travno deteljne mešanice (1 do 5 let)";"Savinjska";8
"Travno deteljne mešanice (1 do 5 let)";"Zasavska";5,5
"Travno deteljne mešanice (1 do 5 let)";"Posavska";6,9
"Travno deteljne mešanice (1 do 5 let)";"Jugovzhodna Slovenija";7
"Travno deteljne mešanice (1 do 5 let)";"Osrednjeslovenska";7
"Travno deteljne mešanice (1 do 5 let)";"Gorenjska";7,7
"Travno deteljne mešanice (1 do 5 let)";"Primorsko-notranjska";4,9
"Travno deteljne mešanice (1 do 5 let)";"Goriška";9,4
"Travno deteljne mešanice (1 do 5 let)";"Obalno-kraška";5,2
"Deteljno travne mešanice (1 do 5 let)";"Pomurska";7,6
"Deteljno travne mešanice (1 do 5 let)";"Podravska";7,7
"Deteljno travne mešanice (1 do 5 let)";"Koroška";8,9
"Deteljno travne mešanice (1 do 5 let)";"Savinjska";7,7
"Deteljno travne mešanice (1 do 5 let)";"Zasavska";5,7
"Deteljno travne mešanice (1 do 5 let)";"Posavska";6,6
"Deteljno travne mešanice (1 do 5 let)";"Jugovzhodna Slovenija";7,7
"Deteljno travne mešanice (1 do 5 let)";"Osrednjeslovenska";6,2
"Deteljno travne mešanice (1 do 5 let)";"Gorenjska";10,3
"Deteljno travne mešanice (1 do 5 let)";"Primorsko-notranjska";5
"Deteljno travne mešanice (1 do 5 let)";"Goriška";9,2
"Deteljno travne mešanice (1 do 5 let)";"Obalno-kraška";5,6
"Detelja";"Pomurska";7,8
"Detelja";"Podravska";5,8
"Detelja";"Koroška";7,7
"Detelja";"Savinjska";8,9
"Detelja";"Zasavska";5,1
"Detelja";"Posavska";7,6
"Detelja";"Jugovzhodna Slovenija";7,5
"Detelja";"Osrednjeslovenska";6,5
"Detelja";"Gorenjska";7,5
"Detelja";"Primorsko-notranjska";5,1
"Detelja";"Goriška";9,6
"Detelja";"Obalno-kraška";5,5
"Lucerna";"Pomurska";8,9
"Lucerna";"Podravska";6,5
"Lucerna";"Koroška";8,2
"Lucerna";"Savinjska";8,8
"Lucerna";"Zasavska";8
"Lucerna";"Posavska";7,8
"Lucerna";"Jugovzhodna Slovenija";8,3
"Lucerna";"Osrednjeslovenska";8,2
"Lucerna";"Gorenjska";7,7
"Lucerna";"Primorsko-notranjska";5,5
"Lucerna";"Goriška";9,2
"Lucerna";"Obalno-kraška";6,3
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Pomurska";6,8
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Podravska";6,8
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Koroška";5,9
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Savinjska";6,7
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Zasavska";4,5
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Posavska";5,8
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Jugovzhodna Slovenija";5
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Osrednjeslovenska";5,8
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Gorenjska";5,9
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Primorsko-notranjska";4,8
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Goriška";5,4
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Obalno-kraška";3,1
"Belo zelje";"Pomurska";31,8
"Belo zelje";"Podravska";28,6
"Belo zelje";"Koroška";25,5
"Belo zelje";"Savinjska";25,6
"Belo zelje";"Zasavska";13
"Belo zelje";"Posavska";40,2
"Belo zelje";"Jugovzhodna Slovenija";27,8
"Belo zelje";"Osrednjeslovenska";46,2
"Belo zelje";"Gorenjska";51,2
"Belo zelje";"Primorsko-notranjska";40,9
"Belo zelje";"Goriška";17,2
"Belo zelje";"Obalno-kraška";25,3
"Grozdje";"Pomurska";7,1
"Grozdje";"Podravska";5,5
"Grozdje";"Koroška";6,5
"Grozdje";"Savinjska";7,2
"Grozdje";"Zasavska";6,1
"Grozdje";"Posavska";6,5
"Grozdje";"Jugovzhodna Slovenija";9,2
"Grozdje";"Osrednjeslovenska";5,9
"Grozdje";"Gorenjska";7,4
"Grozdje";"Primorsko-notranjska";5,8
"Grozdje";"Goriška";7,2
"Grozdje";"Obalno-kraška";5,8
"Jabolka v intenzivnih sadovnjakih";"Pomurska";30,3
"Jabolka v intenzivnih sadovnjakih";"Podravska";24,8
"Jabolka v intenzivnih sadovnjakih";"Koroška";15
"Jabolka v intenzivnih sadovnjakih";"Savinjska";29,6
"Jabolka v intenzivnih sadovnjakih";"Zasavska";30
"Jabolka v intenzivnih sadovnjakih";"Posavska";31,8
"Jabolka v intenzivnih sadovnjakih";"Jugovzhodna Slovenija";15,2
"Jabolka v intenzivnih sadovnjakih";"Osrednjeslovenska";29,7
"Jabolka v intenzivnih sadovnjakih";"Gorenjska";25,7
"Jabolka v intenzivnih sadovnjakih";"Primorsko-notranjska";28
"Jabolka v intenzivnih sadovnjakih";"Goriška";26,9
"Jabolka v intenzivnih sadovnjakih";"Obalno-kraška";29,7
"Oljke";"Goriška";2,4
"Oljke";"Obalno-kraška";2,1
"Breskve in nektarine v intenzivnih sadovnjakih";"Pomurska";10
"Breskve in nektarine v intenzivnih sadovnjakih";"Podravska";10,1
"Breskve in nektarine v intenzivnih sadovnjakih";"Savinjska";19,3
"Breskve in nektarine v intenzivnih sadovnjakih";"Zasavska";16,3
"Breskve in nektarine v intenzivnih sadovnjakih";"Posavska";13,2
"Breskve in nektarine v intenzivnih sadovnjakih";"Jugovzhodna Slovenija";18,5
"Breskve in nektarine v intenzivnih sadovnjakih";"Osrednjeslovenska";16,3
"Breskve in nektarine v intenzivnih sadovnjakih";"Gorenjska";16,3
"Breskve in nektarine v intenzivnih sadovnjakih";"Goriška";17,3
"Breskve in nektarine v intenzivnih sadovnjakih";"Obalno-kraška";12,9
