"pridelek";"Regija";"leto";"Kolicina"
"Pšenica";"Obalno-kraška";"2019";3,8
"Ječmen";"Pomurska";"2010";4,4
"Ječmen";"Pomurska";"2011";4,8
"Ječmen";"Pomurska";"2012";5,2
"Ječmen";"Pomurska";"2013";3,9
"Ječmen";"Pomurska";"2014";4,9
"Ječmen";"Pomurska";"2015";4,5
"Ječmen";"Pomurska";"2016";4,6
"Ječmen";"Pomurska";"2017";5,1
"Ječmen";"Pomurska";"2018";4,1
"Ječmen";"Pomurska";"2019";5,6
"Ječmen";"Podravska";"2010";4,6
"Ječmen";"Podravska";"2011";4,8
"Ječmen";"Podravska";"2012";4,9
"Ječmen";"Podravska";"2013";4,7
"Ječmen";"Podravska";"2014";5,2
"Ječmen";"Podravska";"2015";4,9
"Ječmen";"Podravska";"2016";5,3
"Ječmen";"Podravska";"2017";5,2
"Ječmen";"Podravska";"2018";4,5
"Ječmen";"Podravska";"2019";4,6
"Ječmen";"Koroška";"2010";3,1
"Ječmen";"Koroška";"2011";3,3
"Ječmen";"Koroška";"2012";3,3
"Ječmen";"Koroška";"2013";3,3
"Ječmen";"Koroška";"2014";3,6
"Ječmen";"Koroška";"2015";4
"Ječmen";"Koroška";"2016";4
"Ječmen";"Koroška";"2017";4,1
"Ječmen";"Koroška";"2018";4,1
"Ječmen";"Koroška";"2019";5
"Ječmen";"Savinjska";"2010";3,9
"Ječmen";"Savinjska";"2011";4,1
"Ječmen";"Savinjska";"2012";4
"Ječmen";"Savinjska";"2013";4,3
"Ječmen";"Savinjska";"2014";4,7
"Ječmen";"Savinjska";"2015";4,6
"Ječmen";"Savinjska";"2016";4,7
"Ječmen";"Savinjska";"2017";4,3
"Ječmen";"Savinjska";"2018";3,9
"Ječmen";"Savinjska";"2019";4,1
"Ječmen";"Zasavska";"2010";3,5
"Ječmen";"Zasavska";"2011";3,5
"Ječmen";"Zasavska";"2012";3
"Ječmen";"Zasavska";"2013";3,1
"Ječmen";"Zasavska";"2014";3,5
"Ječmen";"Zasavska";"2015";3,3
"Ječmen";"Zasavska";"2016";2,8
"Ječmen";"Zasavska";"2017";2,8
"Ječmen";"Zasavska";"2018";2,2
"Ječmen";"Zasavska";"2019";2,3
"Ječmen";"Posavska";"2010";3,9
"Ječmen";"Posavska";"2011";4,2
"Ječmen";"Posavska";"2012";4,5
"Ječmen";"Posavska";"2013";3,8
"Ječmen";"Posavska";"2014";4,5
"Ječmen";"Posavska";"2015";4,6
"Ječmen";"Posavska";"2016";4,6
"Ječmen";"Posavska";"2017";3,9
"Ječmen";"Posavska";"2018";4,2
"Ječmen";"Posavska";"2019";4,7
"Ječmen";"Jugovzhodna Slovenija";"2010";3,5
"Ječmen";"Jugovzhodna Slovenija";"2011";3,8
"Ječmen";"Jugovzhodna Slovenija";"2012";3,7
"Ječmen";"Jugovzhodna Slovenija";"2013";2,7
"Ječmen";"Jugovzhodna Slovenija";"2014";4
"Ječmen";"Jugovzhodna Slovenija";"2015";3,9
"Ječmen";"Jugovzhodna Slovenija";"2016";4,1
"Ječmen";"Jugovzhodna Slovenija";"2017";3,6
"Ječmen";"Jugovzhodna Slovenija";"2018";3,5
"Ječmen";"Jugovzhodna Slovenija";"2019";4
"Ječmen";"Osrednjeslovenska";"2010";4,4
"Ječmen";"Osrednjeslovenska";"2011";4,5
"Ječmen";"Osrednjeslovenska";"2012";4,5
"Ječmen";"Osrednjeslovenska";"2013";3,8
"Ječmen";"Osrednjeslovenska";"2014";4,6
"Ječmen";"Osrednjeslovenska";"2015";4,8
"Ječmen";"Osrednjeslovenska";"2016";4,9
"Ječmen";"Osrednjeslovenska";"2017";4,9
"Ječmen";"Osrednjeslovenska";"2018";4,3
"Ječmen";"Osrednjeslovenska";"2019";4,8
"Ječmen";"Gorenjska";"2010";4,7
"Ječmen";"Gorenjska";"2011";4,7
"Ječmen";"Gorenjska";"2012";4,9
"Ječmen";"Gorenjska";"2013";4,7
"Ječmen";"Gorenjska";"2014";5,9
"Ječmen";"Gorenjska";"2015";5,6
"Ječmen";"Gorenjska";"2016";5,3
"Ječmen";"Gorenjska";"2017";5,6
"Ječmen";"Gorenjska";"2018";4,6
"Ječmen";"Gorenjska";"2019";4,8
"Ječmen";"Primorsko-notranjska";"2010";4
"Ječmen";"Primorsko-notranjska";"2011";4,2
"Ječmen";"Primorsko-notranjska";"2012";3,9
"Ječmen";"Primorsko-notranjska";"2013";4,1
"Ječmen";"Primorsko-notranjska";"2014";4,2
"Ječmen";"Primorsko-notranjska";"2015";4,3
"Ječmen";"Primorsko-notranjska";"2016";4,3
"Ječmen";"Primorsko-notranjska";"2017";4,2
"Ječmen";"Primorsko-notranjska";"2018";4,4
"Ječmen";"Primorsko-notranjska";"2019";4,6
"Ječmen";"Goriška";"2010";3,7
"Ječmen";"Goriška";"2011";4,3
"Ječmen";"Goriška";"2012";3,6
"Ječmen";"Goriška";"2013";2,6
"Ječmen";"Goriška";"2014";3,6
"Ječmen";"Goriška";"2015";4,3
"Ječmen";"Goriška";"2016";4,2
"Ječmen";"Goriška";"2017";3,7
"Ječmen";"Goriška";"2018";4,4
"Ječmen";"Goriška";"2019";4,4
"Ječmen";"Obalno-kraška";"2010";2,9
"Ječmen";"Obalno-kraška";"2011";3,5
"Ječmen";"Obalno-kraška";"2012";3,1
"Ječmen";"Obalno-kraška";"2013";3,2
"Ječmen";"Obalno-kraška";"2014";3,6
"Ječmen";"Obalno-kraška";"2015";3,4
"Ječmen";"Obalno-kraška";"2016";3,2
"Ječmen";"Obalno-kraška";"2017";2,9
"Ječmen";"Obalno-kraška";"2018";3,4
"Ječmen";"Obalno-kraška";"2019";3,5
"Tritikala";"Pomurska";"2010";4
"Tritikala";"Pomurska";"2011";4,5
"Tritikala";"Pomurska";"2012";4,4
"Tritikala";"Pomurska";"2013";3
"Tritikala";"Pomurska";"2014";4,8
"Tritikala";"Pomurska";"2015";4,4
"Tritikala";"Pomurska";"2016";4,4
"Tritikala";"Pomurska";"2017";4,6
"Tritikala";"Pomurska";"2018";3,8
"Tritikala";"Pomurska";"2019";4,8
"Tritikala";"Podravska";"2010";4,2
"Tritikala";"Podravska";"2011";4,9
"Tritikala";"Podravska";"2012";4,7
"Tritikala";"Podravska";"2013";4,4
"Tritikala";"Podravska";"2014";5,1
"Tritikala";"Podravska";"2015";5
"Tritikala";"Podravska";"2016";5,1
"Tritikala";"Podravska";"2017";4,8
"Tritikala";"Podravska";"2018";4,7
"Tritikala";"Podravska";"2019";5,1
"Tritikala";"Koroška";"2010";3,2
"Tritikala";"Koroška";"2011";3,5
"Tritikala";"Koroška";"2012";3,5
"Tritikala";"Koroška";"2013";3,4
"Tritikala";"Koroška";"2014";3,6
"Tritikala";"Koroška";"2015";4,1
"Tritikala";"Koroška";"2016";4,3
"Tritikala";"Koroška";"2017";4,3
"Tritikala";"Koroška";"2018";4,2
"Tritikala";"Koroška";"2019";5
"Tritikala";"Savinjska";"2010";4,5
"Tritikala";"Savinjska";"2011";4,4
"Tritikala";"Savinjska";"2012";4,4
"Tritikala";"Savinjska";"2013";4,7
"Tritikala";"Savinjska";"2014";5,1
"Tritikala";"Savinjska";"2015";5,2
"Tritikala";"Savinjska";"2016";5,1
"Tritikala";"Savinjska";"2017";4,6
"Tritikala";"Savinjska";"2018";3,8
"Tritikala";"Savinjska";"2019";4,5
"Tritikala";"Zasavska";"2010";3,5
"Tritikala";"Zasavska";"2011";3,5
"Tritikala";"Zasavska";"2012";3,5
"Tritikala";"Zasavska";"2013";3,5
"Tritikala";"Zasavska";"2014";4
"Tritikala";"Zasavska";"2015";3,5
"Tritikala";"Zasavska";"2016";3,5
"Tritikala";"Zasavska";"2017";3,4
"Tritikala";"Zasavska";"2018";4,2
"Tritikala";"Zasavska";"2019";4,7
"Tritikala";"Posavska";"2010";3,7
"Tritikala";"Posavska";"2011";4
"Tritikala";"Posavska";"2012";4,5
"Tritikala";"Posavska";"2013";3,8
"Tritikala";"Posavska";"2014";4,5
"Tritikala";"Posavska";"2015";4,5
"Tritikala";"Posavska";"2016";4,6
"Tritikala";"Posavska";"2017";3,9
"Tritikala";"Posavska";"2018";4,4
"Tritikala";"Posavska";"2019";4,5
"Tritikala";"Jugovzhodna Slovenija";"2010";3,4
"Tritikala";"Jugovzhodna Slovenija";"2011";3,9
"Tritikala";"Jugovzhodna Slovenija";"2012";3,8
"Tritikala";"Jugovzhodna Slovenija";"2013";2,8
"Tritikala";"Jugovzhodna Slovenija";"2014";4
"Tritikala";"Jugovzhodna Slovenija";"2015";4,4
"Tritikala";"Jugovzhodna Slovenija";"2016";4,3
"Tritikala";"Jugovzhodna Slovenija";"2017";3,9
"Tritikala";"Jugovzhodna Slovenija";"2018";3,9
"Tritikala";"Jugovzhodna Slovenija";"2019";4,1
"Tritikala";"Osrednjeslovenska";"2010";4,5
"Tritikala";"Osrednjeslovenska";"2011";4,3
"Tritikala";"Osrednjeslovenska";"2012";4,5
"Tritikala";"Osrednjeslovenska";"2013";3,9
"Tritikala";"Osrednjeslovenska";"2014";4,8
"Tritikala";"Osrednjeslovenska";"2015";4,7
"Tritikala";"Osrednjeslovenska";"2016";4,8
"Tritikala";"Osrednjeslovenska";"2017";4,9
"Tritikala";"Osrednjeslovenska";"2018";4,1
"Tritikala";"Osrednjeslovenska";"2019";4,2
"Tritikala";"Gorenjska";"2010";4
"Tritikala";"Gorenjska";"2011";4
"Tritikala";"Gorenjska";"2012";4,5
"Tritikala";"Gorenjska";"2013";4,7
"Tritikala";"Gorenjska";"2014";5,1
"Tritikala";"Gorenjska";"2015";5,7
"Tritikala";"Gorenjska";"2016";5,1
"Tritikala";"Gorenjska";"2017";5,4
"Tritikala";"Gorenjska";"2018";5,3
"Tritikala";"Gorenjska";"2019";5
"Tritikala";"Primorsko-notranjska";"2010";3,8
"Tritikala";"Primorsko-notranjska";"2011";4,1
"Tritikala";"Primorsko-notranjska";"2012";3,3
"Tritikala";"Primorsko-notranjska";"2013";4,1
"Tritikala";"Primorsko-notranjska";"2014";4,4
"Tritikala";"Primorsko-notranjska";"2015";4,3
"Tritikala";"Primorsko-notranjska";"2016";4,3
"Tritikala";"Primorsko-notranjska";"2017";4
"Tritikala";"Primorsko-notranjska";"2018";4,1
"Tritikala";"Primorsko-notranjska";"2019";4,6
"Tritikala";"Goriška";"2010";4,2
"Tritikala";"Goriška";"2011";4,3
"Tritikala";"Goriška";"2012";3,3
"Tritikala";"Goriška";"2013";2,9
"Tritikala";"Goriška";"2014";3,7
"Tritikala";"Goriška";"2015";4,3
"Tritikala";"Goriška";"2016";3,8
